Block,Plant,Strain,weight
A,Ad,1075,3.27
B,Ad,1075,1.85
C,Ad,1075,3.36
D,Ad,1075,1.92
E,Ad,1075,2.17
V,Ad,1075,2.53
W,Ad,1075,2.44
X,Ad,1075,2.05
Y,Ad,1075,2.37
Z,Ad,1075,0.81
A,Ad,1088,0.2
B,Ad,1088,0.25
C,Ad,1088,NA
D,Ad,1088,2.75
E,Ad,1088,0.25
V,Ad,1088,0.05
W,Ad,1088,0.02
X,Ad,1088,NA
Y,Ad,1088,0.18
Z,Ad,1088,0.17
A,Ad,1092,NA
B,Ad,1092,0.2
C,Ad,1092,0.34
D,Ad,1092,NA
E,Ad,1092,0.13
V,Ad,1092,0.04
W,Ad,1092,0.16
X,Ad,1092,1.46
Y,Ad,1092,0.18
Z,Ad,1092,0.33
A,Ad,1093,1.9
B,Ad,1093,0.91
C,Ad,1093,2.06
D,Ad,1093,0.3
E,Ad,1093,1.53
V,Ad,1093,2.28
W,Ad,1093,0.86
X,Ad,1093,0.57
Y,Ad,1093,0.32
Z,Ad,1093,1.02
A,Ad,1097,0.11
B,Ad,1097,0.07
C,Ad,1097,0.14
D,Ad,1097,0.27
E,Ad,1097,0.23
V,Ad,1097,1.37
W,Ad,1097,NA
X,Ad,1097,NA
Y,Ad,1097,0.19
Z,Ad,1097,0.06
A,Ad,1104,0.69
B,Ad,1104,0.29
C,Ad,1104,0.8
D,Ad,1104,0.45
E,Ad,1104,1.4
V,Ad,1104,1.53
W,Ad,1104,0.4
X,Ad,1104,0.46
Y,Ad,1104,1.67
Z,Ad,1104,1.26
A,Ad,1129,2.38
B,Ad,1129,2.12
C,Ad,1129,1.27
D,Ad,1129,2.17
E,Ad,1129,1.04
V,Ad,1129,2.5
W,Ad,1129,2.01
X,Ad,1129,0.81
Y,Ad,1129,1.7
Z,Ad,1129,1.43
A,Ad,1144,2.3
B,Ad,1144,1.74
C,Ad,1144,1.88
D,Ad,1144,1.27
E,Ad,1144,0.28
V,Ad,1144,2.19
W,Ad,1144,2.07
X,Ad,1144,1.33
Y,Ad,1144,2.56
Z,Ad,1144,2.62
A,Ad,1147,0.52
B,Ad,1147,1.45
C,Ad,1147,1.17
D,Ad,1147,0.33
E,Ad,1147,0.66
V,Ad,1147,0.35
W,Ad,1147,1.37
X,Ad,1147,1.29
Y,Ad,1147,0.29
Z,Ad,1147,0.73
A,Ad,1152,1.73
B,Ad,1152,1.6
C,Ad,1152,1.32
D,Ad,1152,1.31
E,Ad,1152,0.4
V,Ad,1152,1.4
W,Ad,1152,1.26
X,Ad,1152,1.23
Y,Ad,1152,1.57
Z,Ad,1152,1.03
A,Ad,1153,NA
B,Ad,1153,1.27
C,Ad,1153,1.61
D,Ad,1153,0.39
E,Ad,1153,0.38
V,Ad,1153,0.67
W,Ad,1153,0.62
X,Ad,1153,1.04
Y,Ad,1153,0.38
Z,Ad,1153,1.9
A,Ad,1155,1.31
B,Ad,1155,0.48
C,Ad,1155,2.11
D,Ad,1155,0.69
E,Ad,1155,2.31
V,Ad,1155,0.87
W,Ad,1155,1.19
X,Ad,1155,2.22
Y,Ad,1155,2.04
Z,Ad,1155,1.24
A,Ad,1158,0.23
B,Ad,1158,0.47
C,Ad,1158,0.16
D,Ad,1158,0.49
E,Ad,1158,0.24
V,Ad,1158,0.04
W,Ad,1158,0.14
X,Ad,1158,NA
Y,Ad,1158,0.1
Z,Ad,1158,0.23
A,Ad,1160,0.57
B,Ad,1160,0.12
C,Ad,1160,1.57
D,Ad,1160,1.64
E,Ad,1160,0.14
V,Ad,1160,1
W,Ad,1160,NA
X,Ad,1160,2.77
Y,Ad,1160,0.96
Z,Ad,1160,0.75
A,Ad,1164,0.46
B,Ad,1164,1.03
C,Ad,1164,0.66
D,Ad,1164,0.29
E,Ad,1164,2.24
V,Ad,1164,NA
W,Ad,1164,1.8
X,Ad,1164,1.89
Y,Ad,1164,0.67
Z,Ad,1164,0.85
A,Ad,1169,2.2
B,Ad,1169,1.63
C,Ad,1169,1.62
D,Ad,1169,2.72
E,Ad,1169,0.54
V,Ad,1169,2.02
W,Ad,1169,2
X,Ad,1169,1.12
Y,Ad,1169,2.43
Z,Ad,1169,1.86
A,Ad,1174,0.03
B,Ad,1174,0.09
C,Ad,1174,0.32
D,Ad,1174,2.06
E,Ad,1174,1.96
V,Ad,1174,1.93
W,Ad,1174,0.6
X,Ad,1174,0.63
Y,Ad,1174,0.94
Z,Ad,1174,0.98
A,Ad,1175,0.82
B,Ad,1175,1.47
C,Ad,1175,1.34
D,Ad,1175,1.45
E,Ad,1175,0.92
V,Ad,1175,1.74
W,Ad,1175,2.24
X,Ad,1175,1.54
Y,Ad,1175,1.11
Z,Ad,1175,1.57
A,Ad,1178,0.28
B,Ad,1178,NA
C,Ad,1178,0.37
D,Ad,1178,0.18
E,Ad,1178,0.15
V,Ad,1178,0.51
W,Ad,1178,NA
X,Ad,1178,NA
Y,Ad,1178,0.11
Z,Ad,1178,0.09
A,Ad,1194,0.48
B,Ad,1194,1.8
C,Ad,1194,1.93
D,Ad,1194,0.56
E,Ad,1194,1.76
V,Ad,1194,1.62
W,Ad,1194,1.71
X,Ad,1194,2.86
Y,Ad,1194,1.03
Z,Ad,1194,0.83
A,Am,1075,NA
B,Am,1075,2.11
C,Am,1075,2.36
D,Am,1075,1.36
E,Am,1075,0.94
V,Am,1075,1.87
W,Am,1075,2.34
X,Am,1075,2.64
Y,Am,1075,1.69
Z,Am,1075,1.81
A,Am,1088,NA
B,Am,1088,0.15
C,Am,1088,0.11
D,Am,1088,0.27
E,Am,1088,NA
V,Am,1088,0.23
W,Am,1088,0.5
X,Am,1088,0.08
Y,Am,1088,0.18
Z,Am,1088,0.06
A,Am,1092,0.55
